PFAM	8_1_Oct_SF_Bin1	8_1_Oct_SF_Bin100	8_1_Oct_SF_Bin101	8_1_Oct_SF_Bin102	8_1_Oct_SF_Bin103	8_1_Oct_SF_Bin104	8_1_Oct_SF_Bin105	8_1_Oct_SF_Bin107	8_1_Oct_SF_Bin109	8_1_Oct_SF_Bin11	8_1_Oct_SF_Bin111	8_1_Oct_SF_Bin13	8_1_Oct_SF_Bin14	8_1_Oct_SF_Bin17	8_1_Oct_SF_Bin18	8_1_Oct_SF_Bin19	8_1_Oct_SF_Bin20	8_1_Oct_SF_Bin23	8_1_Oct_SF_Bin24	8_1_Oct_SF_Bin25	8_1_Oct_SF_Bin26	8_1_Oct_SF_Bin28	8_1_Oct_SF_Bin29	8_1_Oct_SF_Bin3	8_1_Oct_SF_Bin32	8_1_Oct_SF_Bin33	8_1_Oct_SF_Bin34	8_1_Oct_SF_Bin35	8_1_Oct_SF_Bin36	8_1_Oct_SF_Bin37	8_1_Oct_SF_Bin39	8_1_Oct_SF_Bin4	8_1_Oct_SF_Bin41	8_1_Oct_SF_Bin42	8_1_Oct_SF_Bin45	8_1_Oct_SF_Bin47	8_1_Oct_SF_Bin49	8_1_Oct_SF_Bin52	8_1_Oct_SF_Bin53	8_1_Oct_SF_Bin54	8_1_Oct_SF_Bin55	8_1_Oct_SF_Bin56	8_1_Oct_SF_Bin59	8_1_Oct_SF_Bin61	8_1_Oct_SF_Bin62	8_1_Oct_SF_Bin63	8_1_Oct_SF_Bin66	8_1_Oct_SF_Bin67	8_1_Oct_SF_Bin68	8_1_Oct_SF_Bin69	8_1_Oct_SF_Bin71	8_1_Oct_SF_Bin72	8_1_Oct_SF_Bin73	8_1_Oct_SF_Bin74	8_1_Oct_SF_Bin77	8_1_Oct_SF_Bin79	8_1_Oct_SF_Bin8	8_1_Oct_SF_Bin80	8_1_Oct_SF_Bin81	8_1_Oct_SF_Bin82	8_1_Oct_SF_Bin83	8_1_Oct_SF_Bin84	8_1_Oct_SF_Bin85	8_1_Oct_SF_Bin87	8_1_Oct_SF_Bin90	8_1_Oct_SF_Bin91	8_1_Oct_SF_Bin92	8_1_Oct_SF_Bin93	8_1_Oct_SF_Bin95	8_1_Oct_SF_Bin96	8_1_Oct_SF_Bin98	NoBin	Total
pfam00012	2.0	0.0	1.0	2.0	0.0	2.0	2.0	1.0	3.0	1.0	3.0	2.0	1.0	1.0	3.0	8.0	2.0	1.0	1.0	1.0	3.0	2.0	1.0	2.0	2.0	0.0	4.0	0.0	1.0	0.0	1.0	2.0	0.0	1.0	1.0	2.0	2.0	1.0	0.0	2.0	0.0	4.0	1.0	1.0	0.0	2.0	2.0	1.0	3.0	1.0	0.0	2.0	1.0	2.0	1.0	2.0	3.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	2.0	1.0	2.0	0.0	3.0	1.0	2.0	1323.0	1427.0
pfam00013	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	2.0	0.0	2.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	152.0	180.0
pfam00014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	13.0
pfam00015	11.0	0.0	8.0	3.0	0.0	11.0	4.0	0.0	3.0	1.0	11.0	0.0	0.0	2.0	6.0	5.0	0.0	4.0	8.0	7.0	1.0	9.0	0.0	28.0	0.0	0.0	5.0	0.0	0.0	0.0	1.0	19.0	0.0	0.0	0.0	17.0	2.0	0.0	0.0	2.0	0.0	3.0	9.0	3.0	0.0	1.0	4.0	0.0	2.0	5.0	0.0	16.0	6.0	6.0	13.0	1.0	2.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	6.0	0.0	11.0	1609.0	1875.0
pfam00016	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	3.0	0.0	1.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	2.0	0.0	2.0	246.0	282.0
pfam00017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	17.0
pfam00018	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	22.0
pfam00019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	10.0
pfam00020	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	14.0
pfam00022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.0	45.0
